,Cumulative Return,Annualized Return,Annualized Volatility,Sharpe Ratio,Sortino Ratio,Drawdown,Max Drawdown,Calmar Ratio,VaR,Expected Shortfall,value,cash,asset value
2002-03-05,0.0,0.0,,,,0.0,0.0,,,,100000000.0,100000000.0,0.0
2002-03-06,4.861098156916377e-05,0.008910755016981575,,,,0.0,0.0,,,,100004861.09815691,100004861.09815691,0.0
2002-03-07,9.722475190443447e-05,0.0118986690781957,,,,0.0,0.0,,,,100009722.47519045,100009722.47519045,0.0
2002-03-08,0.00014639627545598444,0.013447294801425036,,,,0.0,0.0,,,,100014639.6275456,100014639.6275456,0.0
2002-03-11,0.00029475863099936994,0.02174730872118036,,,,0.0,0.0,,,,100029475.86309993,100029475.86309993,0.0
2002-03-12,0.00034477305909885736,0.021191496800936793,,,,0.0,0.0,,,,100034477.30590989,100034477.30590989,0.0
2002-03-13,0.00039451279373947656,0.02077992508068327,,,,0.0,0.0,,,,100039451.27937394,100039451.27937394,0.0
2002-03-14,0.00044508846101298793,0.0205101436826014,,,,0.0,0.0,,,,100044508.8461013,100044508.8461013,0.0
2002-03-15,0.0004956662198611905,0.020300343756727512,,,,0.0,0.0,,,,100049566.62198612,100049566.62198612,0.0
2002-03-18,0.000647693711227193,0.02391464408635957,,,,0.0,0.0,,,,100064769.37112272,100064769.37112272,0.0
2002-03-19,0.0006982819279479635,0.023432504375228813,,,,0.0,0.0,,,,100069828.1927948,100069828.1927948,0.0
2002-03-20,0.0007485947540184501,0.023022252254135456,,,,0.0,0.0,,,,100074859.47540185,100074859.47540185,0.0
2002-03-21,0.0007986321894382087,0.02266727061143614,,,,0.0,0.0,,,,100079863.21894382,100079863.21894382,0.0
2002-03-22,0.0008486724136240742,0.022363106312302206,,,,0.0,0.0,,,,100084867.24136241,100084867.24136241,0.0
2002-03-25,0.0009985288505955925,0.02458270491418091,,,,0.0,0.0,,,,100099852.88505955,100099852.88505955,0.0
2002-03-26,0.0010480231738210222,0.02418329468526026,,,,0.0,0.0,,,,100104802.3173821,100104802.3173821,0.0
2002-03-27,0.0010975188914295053,0.023830980079972974,,,,0.0,0.0,,,,100109751.88914295,100109751.88914295,0.0
2002-03-28,0.0011464617361622853,0.02350640106774371,,,,0.0,0.0,,,,100114646.17361623,100114646.17361623,0.0
2002-04-01,0.0013419779429968415,0.026097549674975795,,,,0.0,0.0,,,,100134197.79429968,100134197.79429968,0.0
2002-04-02,0.00139121012221044,0.02569654712894942,,,,0.0,0.0,,,,100139121.01222105,100139121.01222105,0.0
2002-04-03,0.0014401669107737547,0.025328926521020367,,,,0.0,0.0,,,,100144016.69107738,100144016.69107738,0.0
2002-04-04,0.0014888483086865634,0.024990123456222202,,,,0.0,0.0,,,,100148884.83086865,100148884.83086865,0.0
2002-04-05,0.0015369754393403934,0.024671841679509532,,,,0.0,0.0,,,,100153697.54393403,100153697.54393403,0.0
2002-04-08,0.0016810925957155831,0.025874224152828917,,,,0.0,0.0,,,,100168109.25957157,100168109.25957157,0.0
2002-04-09,0.001728394251609533,0.025533303661433804,,,,0.0,0.0,,,,100172839.42516094,100172839.42516094,0.0
2002-04-10,0.0017751416402445042,0.02521071317190904,,,,0.0,0.0,,,,100177514.16402444,100177514.16402444,0.0
2002-04-11,0.0018221692998707795,0.024915954762601222,,,,0.0,0.0,,,,100182216.92998707,100182216.92998707,0.0
2002-04-12,0.001868920871654911,0.02463861617166274,,,,0.0,0.0,,,,100186892.08716549,100186892.08716549,0.0
2002-04-15,0.0020091888336462027,0.02558450216958663,,,,0.0,0.0,,,,100200918.88336462,100200918.88336462,0.0
2002-04-16,0.002056784704361325,0.025313597343761263,,,,0.0,0.0,,,,100205678.47043614,100205678.47043614,0.0
2002-04-17,0.0021041037900428883,0.025056874232646242,,,,0.0,0.0,,,,100210410.3790043,100210410.3790043,0.0
2002-04-18,0.0021511467878827517,0.024813008288079752,,,,0.0,0.0,,,,100215114.67878827,100215114.67878827,0.0
2002-04-19,0.002198470753905113,0.02458712707335886,,,,0.0,0.0,,,,100219847.07539052,100219847.07539052,0.0
2002-04-22,0.002340177022002843,0.025410621656769106,,,,0.0,0.0,,,,100234017.7022003,100234017.7022003,0.0
2002-04-23,0.0023875100515149406,0.025180447911652415,,,,0.0,0.0,,,,100238751.0051515,100238751.0051515,0.0
2002-04-24,0.002434566295993701,0.02496021651026581,,,,0.0,0.0,,,,100243456.62959936,100243456.62959936,0.0
2002-04-25,0.0024821823852632097,0.02475755627397369,,,,0.0,0.0,,,,100248218.23852631,100248218.23852631,0.0
2002-04-26,0.0025300787455238005,0.024568328378706594,,,,0.0,0.0,,,,100253007.87455237,100253007.87455237,0.0
2002-04-29,0.0026743381289691115,0.02531066393983128,,,,0.0,0.0,,,,100267433.81289692,100267433.81289692,0.0
2002-04-30,0.0027228006087443024,0.0251221662580996,,,,0.0,0.0,,,,100272280.06087443,100272280.06087443,0.0
2002-05-01,0.0027712658772858223,0.024942899807221863,,,,0.0,0.0,,,,100277126.58772857,100277126.58772857,0.0
2002-05-02,0.0028197332374015893,0.024772196770892263,,,,0.0,0.0,,,,100281973.32374015,100281973.32374015,0.0
2002-05-03,0.0028679245096752126,0.024607045232951652,,,,0.0,0.0,,,,100286792.45096752,100286792.45096752,0.0
2002-05-06,0.0030125115731354235,0.025266508090150186,,,,0.0,0.0,,,,100301251.15731354,100301251.15731354,0.0
2002-05-07,0.0030607119088990054,0.0250976326758221,,,,0.0,0.0,,,,100306071.1908899,100306071.1908899,0.0
2002-05-08,0.0031089143362370564,0.024936123877258742,,,,0.0,0.0,,,,100310891.4336237,100310891.4336237,0.0
2002-05-09,0.003157397731757605,0.024783722286780385,,,,0.0,0.0,,,,100315739.77317576,100315739.77317576,0.0
2002-05-10,0.003205883916044705,0.0246376954864731,,,,0.0,0.0,,,,100320588.39160447,100320588.39160447,0.0
2002-05-13,0.0033513557155442353,0.025235601842760857,,,,0.0,0.0,,,,100335135.57155442,100335135.57155442,0.0
2002-05-14,0.0034001298399291002,0.025088393072666415,,,,0.0,0.0,,,,100340012.9839929,100340012.9839929,0.0
2002-05-15,0.003448348302671933,0.02494289778655112,,,,0.0,0.0,,,,100344834.83026719,100344834.83026719,0.0
2002-05-16,0.003496291374764482,0.024801027266420528,,,,0.0,0.0,,,,100349629.13747644,100349629.13747644,0.0
2002-05-17,0.003544514717848113,0.02466648357504031,,,,0.0,0.0,,,,100354451.47178482,100354451.47178482,0.0
2002-05-20,0.0036889205115129275,0.025200796532586,,,,0.0,0.0,,,,100368892.05115129,100368892.05115129,0.0
2002-05-21,0.003736874738669682,0.025061938815739815,,,,0.0,0.0,,,,100373687.47386697,100373687.47386697,0.0
2002-05-22,0.0037845521807928773,0.02492620082366792,,,,0.0,0.0,,,,100378455.21807928,100378455.21807928,0.0
2002-05-23,0.0038322317144905416,0.02479524147596135,,,,0.0,0.0,,,,100383223.17144907,100383223.17144907,0.0
2002-05-24,0.003879914036954535,0.02466881721141534,,,,0.0,0.0,,,,100387991.40369546,100387991.40369546,0.0
2002-05-28,0.004071222692963561,0.02545380042013612,,,,0.0,0.0,,,,100407122.26929636,100407122.26929636,0.0
2002-05-29,0.0041191950471000105,0.025322264468151667,,,,0.0,0.0,,,,100411919.50471,100411919.50471,0.0
2002-05-30,0.004167169492811151,0.02519505599740901,,,,0.0,0.0,,,,100416716.94928111,100416716.94928111,0.0
2002-05-31,0.004214867153488289,0.025070288976686728,,,,0.0,0.0,,,,100421486.71534884,100421486.71534884,0.0
2002-06-03,0.004358253653150346,0.025515420732156624,,,,0.0,0.0,,,,100435825.36531503,100435825.36531503,0.0
2002-06-04,0.004406518827725137,0.025392760181038643,,,,0.0,0.0,,,,100440651.88277252,100440651.88277252,0.0
2002-06-05,0.00445450721726659,0.02527228803937409,,,,0.0,0.0,,,,100445450.72172666,100445450.72172666,0.0
2002-06-06,0.004502218821774262,0.02515390496941361,,,,0.0,0.0,,,,100450221.88217743,100450221.88217743,0.0
2002-06-07,0.004549932517856403,0.025039067814306204,,,,0.0,0.0,,,,100454993.25178565,100454993.25178565,0.0
2002-06-10,0.004693366426541834,0.02545190708954026,,,,0.0,0.0,,,,100469336.64265418,100469336.64265418,0.0
2002-06-11,0.0047413687599136,0.0253375560657898,,,,0.0,0.0,,,,100474136.87599136,100474136.87599136,0.0
2002-06-12,0.004789093611060169,0.025224995922818794,,,,0.0,0.0,,,,100478909.36110602,100478909.36110602,0.0
2002-06-13,0.00483626280056515,0.025112692222538202,,,,0.0,0.0,,,,100483626.2800565,100483626.2800565,0.0
2002-06-14,0.004883155205036349,0.025002077173542414,,,,0.0,0.0,,,,100488315.52050363,100488315.52050363,0.0
2002-06-17,0.005024404115496983,0.025375738526869585,,,,0.0,0.0,,,,100502440.41154969,100502440.41154969,0.0
2002-06-18,0.005071863336674198,0.02526733832616035,,,,0.0,0.0,,,,100507186.33366741,100507186.33366741,0.0
2002-06-19,0.005118766896209825,0.025159070538372408,,,,0.0,0.0,,,,100511876.68962097,100511876.68962097,0.0
2002-06-20,0.005166230997727617,0.02505639751275357,,,,0.0,0.0,,,,100516623.09977277,100516623.09977277,0.0
2002-06-21,0.005213417617020655,0.02495504920075775,,,,0.0,0.0,,,,100521341.76170206,100521341.76170206,0.0
2002-06-24,0.00535555056632897,0.02530933829099946,,,,0.0,0.0,,,,100535555.0566329,100535555.0566329,0.0
2002-06-25,0.005403025822911189,0.025208647372580995,,,,0.0,0.0,,,,100540302.58229113,100540302.58229113,0.0
2002-06-26,0.005449665146860516,0.025106584306745505,,,,0.0,0.0,,,,100544966.51468605,100544966.51468605,0.0
2002-06-27,0.005496306562384312,0.025007050773555584,,,,0.0,0.0,,,,100549630.65623844,100549630.65623844,0.0
2002-06-28,0.005542950766674437,0.02490995703732435,,,,0.0,0.0,,,,100554295.07666744,1005542.950739736,99548752.1259277
2002-07-01,0.0013117569204748047,0.0057814377895013536,,,,-0.004207869830894384,-0.004207869830894384,,,,100131175.69204748,1005684.0128028651,99125491.67924461
2002-07-02,-0.006389872446164291,-0.02747024343438209,,,,-0.01186704476794409,-0.01186704476794409,,,,99361012.75538357,1005731.2238238599,98355281.5315597
2002-07-03,-0.01706764483938028,-0.07125691806669365,,,,-0.02248595705316736,-0.02248595705316736,,,,98293235.51606198,1005778.4376336208,97287457.07842836
2002-07-05,-0.008995226936590495,-0.0376241042432649,,,,-0.014458037513146893,-0.02248595705316736,,,,99100477.30634095,1005872.8708306747,98094604.43551028
2002-07-08,-0.013102437849420556,-0.05383025847751066,,,,-0.01854260785367634,-0.02248595705316736,,,,98689756.21505794,1006014.8176298434,97683741.3974281
2002-07-09,-0.026863301852935284,-0.10680073356466258,,,,-0.03222761652786843,-0.03222761652786843,,,,97313669.81470647,1006062.0439890516,96307607.77071743
2002-07-10,-0.038990378397929626,-0.1504981873708574,,,,-0.04428784382671047,-0.04428784382671047,,,,96100962.16020703,1006109.2731370259,95094852.88707
2002-07-11,-0.05836696387466711,-0.21643373509200048,,,,-0.0635576178945052,-0.0635576178945052,,,,94163303.61253329,1006156.5043765748,93157147.10815671
2002-07-12,-0.06792825710511552,-0.24584320900720014,,,,-0.07306620549203979,-0.07306620549203979,,,,93207174.28948845,1006203.4588310901,92200970.83065736
2002-07-15,-0.07269671599386918,-0.2587647818029942,,,,-0.07780837874790913,-0.07780837874790913,,,,92730328.40061308,1006344.3333497003,91723984.06726338
2002-07-16,-0.0802938111728515,-0.27999995386477194,,,,-0.08536359573112196,-0.08536359573112196,,,,91970618.88271485,1006391.5757443134,90964227.30697054
2002-07-17,-0.07604981175254633,-0.2644468110177438,,,,-0.08114299091551525,-0.08536359573112196,,,,92395018.82474537,1006438.8202305012,91388580.00451487
2002-07-18,-0.10000805584195027,-0.33291685277552074,,,,-0.10496916768015485,-0.10496916768015485,,,,89999194.41580497,1006486.0668082635,88992708.3489967
2002-07-19,-0.12821799064244122,-0.4064929543619977,,,,-0.13302359815374354,-0.13302359815374354,,,,87178200.93575588,1006533.316174792,86171667.61958109
2002-07-22,-0.132232430952391,-0.41356614157015115,,,,-0.1370159092796771,-0.1370159092796771,,,,86776756.9047609,1006674.7965528334,85770082.10820806
2002-07-23,-0.14473110439439152,-0.4413791816514008,,,,-0.14944568508634037,-0.14944568508634037,,,,85526889.56056085,1006721.4951380608,84520168.06542279
